statement,label,category,split,question
Cadmium is in the Lanthanide group.,0,elements,train,What is the chemical group that Cadmium belongs to?
Thallium is an essential trace element used in photovoltaic cells and glass production.,0,elements,train,What is Thallium used for in the field of technology?
Thorium has the atomic number of 78.,0,elements,train,What is the atomic number of Thorium?
Bromine is in the Halogen group.,1,elements,train,What group is Bromine a part of?
"Iron is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells.",0,elements,train,What are some common uses of Iron?
Arsenic is in the Metalloid group.,1,elements,train,What is the group that Arsenic belongs to?
Protactinium has the atomic number of 66.,0,elements,train,What is the atomic number of Protactinium?
Titanium is in the Transition metal group.,1,elements,train,What group of elements does Titanium belong to?
Uranium has the symbol Re.,0,elements,train,What is the symbol for Uranium?
Rubidium is used in phosphors for CRT displays and LEDs.,0,elements,train,What is one use of Rubidium?
Boron is in the Post-transition metal group.,0,elements,train,What is the group of Boron?
Francium is in the Halogen group.,0,elements,train,What is the group of Francium?
Helium is used in catalytic converters and hydrogen storage.,0,elements,train,What is one use of Helium?
Sulfur has the atomic number of 16.,1,elements,train,What is the atomic number of Sulfur?
Scandium has the atomic number of 53.,0,elements,train,What is the atomic number of Scandium?
Cadmium is in the Transition metal group.,1,elements,train,What is the classification of Cadmium?
Polonium has the atomic number of 25.,0,elements,train,What is the atomic number of Polonium?
Rhodium is a noble gas used as an inert atmosphere in welding and other applications.,0,elements,train,What is Rhodium used for?
Copper appears in its standard state as Gas.,0,elements,train,What is the standard state of Copper?
Hafnium is essential for thyroid function and is used as a disinfectant.,0,elements,train,What is the role of Hafnium in human health and its use as a disinfectant?
Europium is used in phosphors for lighting and displays.,1,elements,train,What is Europium used for in lighting and displays?
Cesium appears in its standard state as Solid.,1,elements,train,What is the standard state of Cesium?
Molybdenum is used in the production of sulfuric acid and rubber vulcanization.,0,elements,train,What industrial processes involve the use of Molybdenum?
Tellurium appears in its standard state as Solid.,1,elements,train,What is the standard state of Tellurium?
Nickel has the atomic number of 28.,1,elements,train,What is the atomic number of Nickel?
Osmium has the symbol Rn.,0,elements,train,What is the symbol of Osmium?
Oxygen has the atomic number of 76.,0,elements,train,What is the atomic number of Oxygen?
Aluminum has the symbol Sc.,0,elements,train,What is the symbol for Aluminum?
Manganese has the atomic number of 1.,0,elements,train,What is the atomic number of Manganese?
Fluorine is in the Transition metal group.,0,elements,train,What is Fluorine classified as in the periodic table?
Praseodymium is in the Lanthanide group.,1,elements,train,What group does Praseodymium belong to?
Iridium has the symbol Ir.,1,elements,train,What is the symbol for Iridium?
Thulium is in the Lanthanide group.,1,elements,train,What is the group that Thulium belongs to?
Rhenium is in the Halogen group.,0,elements,train,What is the chemical group that Rhenium belongs to?
Dysprosium has the symbol U.,0,elements,train,What is the symbol of Dysprosium?
Chlorine is in the Post-transition metal group.,0,elements,train,What group of elements does Chlorine belong to?
Strontium is in the Alkaline earth metal group.,1,elements,train,What group does Strontium belong to in the periodic table?
Oxygen has the atomic number of 8.,1,elements,train,What is the atomic number of Oxygen?
Iron has the atomic number of 26.,1,elements,train,What is the atomic number of Iron?
Palladium appears in its standard state as Gas.,0,elements,train,What is the standard state of Palladium?
"Zirconium is a rare, dense metal used in spark plugs, fountain pen nibs, and crucibles for high-temperature applications.",0,elements,train,What are some common uses for Zirconium?
Silicon appears in its standard state as Solid.,1,elements,train,What is the standard state of Silicon?
Thulium has the atomic number of 64.,0,elements,train,What is the atomic number of Thulium?
Helium appears in its standard state as Gas.,1,elements,train,What is the standard state of Helium?
Cobalt has the symbol Lu.,0,elements,train,What is the symbol for Cobalt?
Neptunium is used in green phosphors and lasers.,0,elements,train,What is one possible use for Neptunium?
Xenon has the symbol F.,0,elements,train,What is the symbol for Xenon?
Hydrogen has the atomic number of 24.,0,elements,train,What is the atomic number of Hydrogen?
Radon has the symbol H.,0,elements,train,What is the symbol for Radon?
Protactinium is a radioactive element with no significant practical applications.,1,elements,train,What are some potential practical applications for Protactinium?
Sulfur has the symbol S.,1,elements,train,What is the symbol of Sulfur?
Rhenium has the symbol Re.,1,elements,train,What is the symbol for Rhenium?
Yttrium is used in phosphors for CRT displays and LEDs.,1,elements,train,What type of material is Yttrium commonly used in?
Gadolinium is in the Lanthanide group.,1,elements,train,What group of elements does Gadolinium belong to?
Neon is used in neon signs and produces a distinct reddish-orange glow.,1,elements,train,"What is the use of neon, and what color does it produce a glow?"
Titanium has the symbol Ti.,1,elements,train,What is the symbol for Titanium?
Neodymium has the atomic number of 93.,0,elements,train,What is the atomic number of Neodymium?
Dysprosium is used in magnets and lasers.,1,elements,train,What are some common uses of Dysprosium?
Holmium is necessary for aerobic respiration in living organisms.,0,elements,train,What biological process is Holmium essential for?
Chromium is in the Transition metal group.,1,elements,train,What group is Chromium a part of?
Potassium is in the Actinide group.,0,elements,train,What group is Potassium in?
Tin is used in solder and pewter.,1,elements,train,What is Tin used for in terms of products or materials?
Sodium has the symbol Lu.,0,elements,train,What is the symbol of Sodium?
Fluorine has the symbol N.,0,elements,train,What is the symbol for Fluorine?
Vanadium appears in its standard state as Solid.,1,elements,train,What is the standard state of Vanadium?
Gold is in the Transition metal group.,1,elements,train,What type of metal is Gold?
Francium has the symbol Fr.,1,elements,train,What is the symbol for Francium?
Neon has the symbol Ne.,1,elements,train,What is the symbol for Neon?
Barium is in the Alkaline earth metal group.,1,elements,train,What group of elements does Barium belong to?
Iridium has the symbol Fe.,0,elements,train,What is the symbol for Iridium?
Copper is in the Transition metal group.,1,elements,train,What is the group that Copper belongs to?
Lithium has the symbol Li.,1,elements,train,What is the symbol of Lithium?
Vanadium appears in its standard state as Gas.,0,elements,train,What is the standard state of Vanadium?
Palladium has the symbol Pd.,1,elements,train,What is the symbol of Palladium?
Cadmium is used in magnets and lasers.,0,elements,train,What are some uses of Cadmium?
Krypton has the atomic number of 86.,0,elements,train,What is the atomic number of Krypton?
"Copper is a strong, lightweight metal used in aerospace and medical implants.",0,elements,train,What is one industry where copper is commonly used?
Thallium appears in its standard state as Liquid.,0,elements,train,What is the standard state of Thallium?
Nickel has the symbol Ni.,1,elements,train,What is the symbol of Nickel?
Sodium is in the Alkali metal group.,1,elements,train,What group is Sodium a part of?
Strontium has the symbol Sn.,0,elements,train,What is the symbol for Strontium?
Barium appears in its standard state as Gas.,0,elements,train,What is the standard state of Barium?
Lithium is the lightest metal and is used in rechargeable batteries.,1,elements,train,What is a common use for Lithium?
Ytterbium has the atomic number of 82.,0,elements,train,What is the atomic number of Ytterbium?
Bromine appears in its standard state as Liquid.,1,elements,train,What is the standard state of Bromine?
Iridium has the atomic number of 77.,1,elements,train,What is the atomic number of Iridium?
Xenon is in the Noble gas group.,1,elements,train,What is Xenon a member of in the periodic table?
Tin has the atomic number of 75.,0,elements,train,What is the atomic number of Tin?
Chlorine is essential for muscle and nerve function and is highly reactive with water.,0,elements,train,What is a possible function of chlorine in the human body?
Francium appears in its standard state as Gas.,0,elements,train,What is the standard state of Francium?
Palladium has the atomic number of 45.,0,elements,train,What is the atomic number of Palladium?
Lanthanum is in the Alkali metal group.,0,elements,train,What group does Lanthanum belong to?
Beryllium is in the Alkaline earth metal group.,1,elements,train,What group is Beryllium a part of?
Bromine is in the Noble gas group.,0,elements,train,Is Bromine a noble gas?
Neptunium appears in its standard state as Gas.,0,elements,train,What is the standard state of Neptunium?
Antimony is in the Metalloid group.,1,elements,train,What group is Antimony classified under?
Tellurium has the symbol O.,0,elements,train,What is the symbol of Tellurium?
Yttrium has the symbol U.,0,elements,train,What is the symbol for Yttrium?
Cobalt is in the Post-transition metal group.,0,elements,train,What group of metals is Cobalt a part of?
Xenon has the atomic number of 37.,0,elements,train,What is the atomic number of Xenon?
Zirconium has the symbol Eu.,0,elements,train,What is the symbol of Zirconium?
Silver is used in catalytic converters and some electronic components.,0,elements,train,What is silver used for in the context of technology and automobiles?
Niobium has the symbol Nb.,1,elements,train,What is the symbol for Niobium?
Chromium has the symbol Ru.,0,elements,train,What is the symbol of Chromium?
Fluorine has the symbol F.,1,elements,train,What is the symbol for Fluorine?
Bromine has the atomic number of 64.,0,elements,train,What is the atomic number of Bromine?
Holmium has the atomic number of 92.,0,elements,train,What is the atomic number of Holmium?
Silver has the atomic number of 47.,1,elements,train,What is the atomic number of Silver?
Thorium is a radioactive element used as a nuclear fuel in some reactors.,1,elements,train,What is Thorium used for?
Boron is in the Metalloid group.,1,elements,train,What is the classification of Boron?
Thorium has the symbol Se.,0,elements,train,What is the symbol for Thorium?
Thallium is in the Post-transition metal group.,1,elements,train,What is the group that Thallium belongs to?
Ruthenium is a highly conductive and reflective metal used in jewelry and electronics.,0,elements,train,What is Ruthenium used for?
Rhodium has the symbol Sn.,0,elements,train,What is the symbol of Rhodium?
Cobalt is used to galvanize steel and is an essential trace element in living organisms.,0,elements,train,What is one use of cobalt and what is its role in living organisms?
Thallium has the symbol Tl.,1,elements,train,What is the symbol of Thallium?
Zirconium appears in its standard state as Gas.,0,elements,train,What is the standard state of Zirconium?
Thallium is in the Transition metal group.,0,elements,train,What is the classification of Thallium?
Astatine has the symbol At.,1,elements,train,What is the symbol for Astatine?
Holmium is in the Lanthanide group.,1,elements,train,What is the group that Holmium belongs to?
Rhodium appears in its standard state as Gas.,0,elements,train,What is the standard state of Rhodium?
Palladium is in the Nonmetal group.,0,elements,train,What is the classification of Palladium?
Iron has the atomic number of 12.,0,elements,train,What is the atomic number of Iron?
Calcium is in the Nonmetal group.,0,elements,train,What is the group of Calcium?
Aluminum appears in its standard state as Solid.,1,elements,train,What is the standard state of Aluminum?
Neodymium appears in its standard state as Solid.,1,elements,train,What is the standard state of Neodymium?
Zinc has the symbol Zn.,1,elements,train,What is the symbol of Zinc?
Hydrogen is in the Actinide group.,0,elements,train,What is the group of Hydrogen in the periodic table?
Holmium appears in its standard state as Solid.,1,elements,train,What is the standard state of Holmium?
Nickel is in the Transition metal group.,1,elements,train,What type of group does Nickel belong to?
Neptunium is in the Transition metal group.,0,elements,train,What group of the periodic table does Neptunium belong to?
Germanium has the symbol Ge.,1,elements,train,What is the symbol for Germanium?
Platinum appears in its standard state as Solid.,1,elements,train,What is the standard state of Platinum?
Nitrogen has the symbol La.,0,elements,train,What is the symbol for Nitrogen?
Manganese is in the Nonmetal group.,0,elements,train,What is the group that Manganese belongs to?
Samarium appears in its standard state as Solid.,1,elements,train,What is the standard state of Samarium?
Actinium is a radioactive element used as a neutron source and in some cancer treatments.,1,elements,train,What is Actinium used for?
Technetium has the symbol Ag.,0,elements,train,What is the symbol of Technetium?
Tin appears in its standard state as Liquid.,0,elements,train,What is the standard state of Tin?
Zinc has the atomic number of 49.,0,elements,train,What is the atomic number of Zinc?
Vanadium has the symbol V.,1,elements,train,What is the symbol for Vanadium?
Rhenium appears in its standard state as Solid.,1,elements,train,What is the standard state of Rhenium?
Gallium has the symbol Cs.,0,elements,train,What is the symbol for Gallium?
Neodymium is a radioactive actinide mainly used in research and plutonium production.,0,elements,train,What is the primary use of Neodymium?
Platinum is in the Transition metal group.,1,elements,train,What group does Platinum belong to?
Chromium has the symbol Cr.,1,elements,train,What is the symbol for Chromium?
"Tin is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",0,elements,train,What is Tin used for in fireworks and certain types of glass?
Cesium is in the Transition metal group.,0,elements,train,What is the group that Cesium belongs to?
Phosphorus appears in its standard state as Solid.,1,elements,train,What is the standard state of Phosphorus?
Europium has the symbol Eu.,1,elements,train,What is the symbol of Europium?
Helium is used to fill balloons and airships because it is lighter than air.,1,elements,train,What is Helium used for?
Francium is the lightest metal and is used in rechargeable batteries.,0,elements,train,What is Francium used for?
Lithium appears in its standard state as Solid.,1,elements,train,What is the standard state of Lithium?
Indium has the symbol As.,0,elements,train,What is the symbol for Indium?
Hydrogen is the most abundant element in the universe.,1,elements,train,What is the most abundant element in the universe?
Molybdenum appears in its standard state as Gas.,0,elements,train,What is the standard state of Molybdenum?
Strontium has the symbol Sr.,1,elements,train,What is the symbol for Strontium?
Platinum has the atomic number of 90.,0,elements,train,What is the atomic number of Platinum?
Hydrogen has the atomic number of 1.,1,elements,train,What is the atomic number of Hydrogen?
Thorium is an essential trace element in living organisms and is used to strengthen steel.,0,elements,train,What is one potential use for thorium in industry?
"Bismuth is a low-toxicity heavy metal used in cosmetics, some alloys, and pharmaceuticals.",1,elements,train,What industries does Bismuth have applications in?
Carbon has the symbol In.,0,elements,train,What is the symbol for Carbon?
Sulfur has the symbol Cs.,0,elements,train,What is the symbol for Sulfur?
"Samarium is used in lasers, atomic clocks, and some solar cells.",0,elements,train,What types of devices are Samarium used in?
Germanium is a noble gas used as an inert atmosphere in welding and other applications.,0,elements,train,What is Germanium used for in welding and other applications?
Thulium is in the Transition metal group.,0,elements,train,What type of element is Thulium?
Mercury has the symbol Cl.,0,elements,train,What is the symbol for Mercury?
Scandium has the atomic number of 21.,1,elements,train,What is the atomic number of Scandium?
Niobium is a radioactive element with no significant practical applications.,0,elements,train,What is a potential question that could be answered by the given statement about Niobium?
Cesium has the symbol Cs.,1,elements,train,What is the symbol for Cesium?
Beryllium has the symbol Be.,1,elements,train,What is the symbol of Beryllium?
Rubidium has the atomic number of 37.,1,elements,train,What is the atomic number of Rubidium?
Potassium is in the Alkali metal group.,1,elements,train,What is the group of Potassium?
Fluorine is used in solder and pewter.,0,elements,train,What type of materials does Fluorine commonly used in?
Tungsten has the atomic number of 54.,0,elements,train,What is the atomic number of Tungsten?
Tin has the atomic number of 50.,1,elements,train,What is the atomic number of Tin?
Silver appears in its standard state as Gas.,0,elements,train,What is the standard state of Silver?
Francium has the atomic number of 87.,1,elements,train,What is the atomic number of Francium?
Yttrium has the atomic number of 26.,0,elements,train,What is the atomic number of Yttrium?
Boron has the atomic number of 5.,1,elements,train,What is the atomic number of Boron?
Gadolinium is used in flame retardants and as a fumigant.,0,elements,train,What is one use of Gadolinium?
Krypton is in the Alkaline earth metal group.,0,elements,train,What group does Krypton belong to in the periodic table?
Niobium has the symbol Rh.,0,elements,train,What is the symbol of Niobium?
Copper is in the Post-transition metal group.,0,elements,train,What group is Copper classified under in the periodic table?
Neon appears in its standard state as Solid.,0,elements,train,What is the standard state of Neon?
Osmium is in the Transition metal group.,1,elements,train,What is Osmium classified as?
Osmium is the densest naturally occurring element and is used in some alloys.,1,elements,train,What is Osmium used for?
Hafnium appears in its standard state as Solid.,1,elements,train,What is the standard state of Hafnium?
Iodine is in the Halogen group.,1,elements,train,What group is Iodine in?
Ruthenium appears in its standard state as Liquid.,0,elements,train,What is the standard state of Ruthenium?
Radium is in the Alkaline earth metal group.,1,elements,train,What is the group that Radium belongs to?
Bismuth appears in its standard state as Gas.,0,elements,train,What is the standard state of Bismuth?
Promethium appears in its standard state as Gas.,0,elements,train,What is the standard state of Promethium?
Iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.,1,elements,train,What is Iron primarily used for in the human body?
Indium is in the Lanthanide group.,0,elements,train,What is the group that Indium belongs to?
Barium appears in its standard state as Solid.,1,elements,train,What is the standard state of Barium?
Bromine has the symbol Br.,1,elements,train,What is the symbol of Bromine?
Cesium is a noble gas used in some lighting applications and window insulation.,0,elements,train,What is a common use for Cesium?
Promethium is in the Halogen group.,0,elements,train,What group does Promethium belong to?
Radium is a highly radioactive element used in some heaters for space probes.,0,elements,train,What is a potential use of radium?
Sodium has the atomic number of 11.,1,elements,train,What is the atomic number of Sodium?
Gold has the symbol Au.,1,elements,train,What is the symbol for gold?
Germanium is in the Alkaline earth metal group.,0,elements,train,What is the group of Germanium?
Silver is a highly conductive and reflective metal used in jewelry and electronics.,1,elements,train,What type of materials is Silver commonly used for in jewelry and electronics?
Bismuth is used in solder and pewter.,0,elements,train,What is Bismuth used for?
Tantalum is in the Lanthanide group.,0,elements,train,Is Tantalum a Lanthanide?
Scandium is a rare earth metal used in high-performance alloys.,1,elements,train,What is Scandium used for?
Palladium appears in its standard state as Solid.,1,elements,train,What is the standard state of Palladium?
Actinium has the symbol Ar.,0,elements,train,What is the symbol of Actinium?
Tantalum has the atomic number of 79.,0,elements,train,What is the atomic number of Tantalum?
Bismuth has the symbol Bi.,1,elements,train,What is the symbol of Bismuth?
Actinium has the symbol Ac.,1,elements,train,What is the symbol of Actinium?
Promethium has the symbol Dy.,0,elements,train,What is the symbol for Promethium?
Radon is essential for bone formation and muscle function.,0,elements,train,What is a potential biological function of Radon?
Polonium is in the Actinide group.,0,elements,train,What group is Polonium a part of?
Francium is a highly radioactive alkali metal with no practical applications due to its instability.,1,elements,train,What is the primary characteristic of Francium?
Dysprosium has the atomic number of 60.,0,elements,train,What is the atomic number of Dysprosium?
Titanium appears in its standard state as Liquid.,0,elements,train,What is the standard state of Titanium?
Protactinium is in the Actinide group.,1,elements,train,What group is Protactinium a part of?
Antimony is in the Noble gas group.,0,elements,train,What group is Antimony in?
Protactinium appears in its standard state as Gas.,0,elements,train,What is the standard state of Protactinium?
Cadmium has the atomic number of 37.,0,elements,train,What is the atomic number of Cadmium?
Argon is the lightest radioactive element and is used in medical imaging.,0,elements,train,What is the use of Argon in medical imaging?
Cobalt appears in its standard state as Gas.,0,elements,train,What is the standard state of Cobalt?
Strontium is used in neon signs and produces a distinct reddish-orange glow.,0,elements,train,What is Strontium used for?
Xenon is in the Nonmetal group.,0,elements,train,What is the group classification of Xenon?
Iridium appears in its standard state as Gas.,0,elements,train,What is the standard state of Iridium?
Nickel is in the Lanthanide group.,0,elements,train,Is Nickel a member of the Lanthanide group?
Chromium appears in its standard state as Solid.,1,elements,train,What is the standard state of Chromium?
Argon appears in its standard state as Gas.,1,elements,train,What is the standard state of Argon?
Antimony has the symbol Al.,0,elements,train,What is the symbol of Antimony?
Iron has the symbol Fe.,1,elements,train,What is the symbol for Iron?
Gallium has a low melting point and is used in semiconductors and LEDs.,1,elements,train,What is Gallium used for in technology?
Calcium is in the Alkaline earth metal group.,1,elements,train,What group of elements does Calcium belong to?
Astatine appears in its standard state as Solid.,1,elements,train,What is the standard state of Astatine?
Lanthanum appears in its standard state as Solid.,1,elements,train,What is the standard state of Lanthanum?
Manganese has the symbol Gd.,0,elements,train,What is the symbol for Manganese?
Silicon is in the Halogen group.,0,elements,train,What is the chemical group of Silicon?
Zirconium has the atomic number of 40.,1,elements,train,What is the atomic number of Zirconium?
Selenium is used in lasers and magnetic refrigeration.,0,elements,train,What is one use of Selenium?
Sodium reacts violently with water and is essential for nerve function.,1,elements,train,What is a characteristic of Sodium?
Oxygen is in the Halogen group.,0,elements,train,What is the chemical group that Oxygen belongs to?
Nitrogen is in the Nonmetal group.,1,elements,train,What is the classification of Nitrogen?
Selenium is in the Nonmetal group.,1,elements,train,What group does Selenium belong to?
Arsenic appears in its standard state as Liquid.,0,elements,train,What is the standard state of Arsenic?
Fluorine is the most reactive and electronegative element.,1,elements,train,What is a characteristic of fluorine?
Ytterbium appears in its standard state as Solid.,1,elements,train,What is the standard state of Ytterbium?
Lead is in the Post-transition metal group.,1,elements,train,What type of metal group does Lead belong to?
Lead has the atomic number of 82.,1,elements,train,What is the atomic number of Lead?
Thallium has the atomic number of 82.,0,elements,train,What is the atomic number of Thallium?
Palladium has the symbol Nd.,0,elements,train,What is the symbol for Palladium?
Praseodymium appears in its standard state as Gas.,0,elements,train,What is the standard state of Praseodymium?
Promethium appears in its standard state as Solid.,1,elements,train,What is the standard state of Promethium?
Neodymium has the atomic number of 60.,1,elements,train,What is the atomic number of Neodymium?
Cadmium has the symbol Cd.,1,elements,train,What is the symbol of Cadmium?
Boron is used in the production of glass and ceramics.,1,elements,train,What is one use of Boron?
Carbon forms more compounds than any other element.,1,elements,train,What is a characteristic of carbon?
Phosphorus has the atomic number of 37.,0,elements,train,What is the atomic number of Phosphorus?
Uranium appears in its standard state as Solid.,1,elements,train,What is the standard state of Uranium?
Astatine has the atomic number of 7.,0,elements,train,What is the atomic number of Astatine?
Thallium has the atomic number of 81.,1,elements,train,What is the atomic number of Thallium?
"Lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",1,elements,train,What are some uses for lead?
Mercury is a liquid at room temperature and used in thermometers and some electrical switches.,1,elements,train,What is Mercury commonly used for in technology?
Arsenic has the symbol As.,1,elements,train,What is the symbol of Arsenic?
Rhenium has the atomic number of 75.,1,elements,train,What is the atomic number of Rhenium?
Iodine appears in its standard state as Gas.,0,elements,train,What is the standard state of Iodine?
Neon has the atomic number of 10.,1,elements,train,What is the atomic number of Neon?
Silicon has the symbol Rn.,0,elements,train,What is the symbol for Silicon?
Lead appears in its standard state as Gas.,0,elements,train,What is the standard state of Lead?
Sulfur is in the Nonmetal group.,1,elements,train,What category does Sulfur belong to in the periodic table?
Zinc is an essential trace element in living organisms and is used to strengthen steel.,0,elements,train,What is the role of zinc in living organisms and industry?
Radon has the atomic number of 86.,1,elements,train,What is the atomic number of Radon?
Argon has the atomic number of 12.,0,elements,train,What is the atomic number of Argon?
Ruthenium is in the Lanthanide group.,0,elements,train,What group does Ruthenium belong to?
Technetium has the atomic number of 43.,1,elements,train,What is the atomic number of Technetium?
Gadolinium has the atomic number of 6.,0,elements,train,What is the atomic number of Gadolinium?
Beryllium appears in its standard state as Solid.,1,elements,train,What is the standard state of Beryllium?
Antimony appears in its standard state as Liquid.,0,elements,train,What is the standard state of Antimony?
Molybdenum is in the Transition metal group.,1,elements,train,What group of elements does Molybdenum belong to?
Arsenic has the atomic number of 53.,0,elements,train,What is the atomic number of Arsenic?
Polonium is used in powerful permanent magnets and lasers.,0,elements,train,What is a possible use of Polonium in technology?
Neptunium appears in its standard state as Solid.,1,elements,train,What is the standard state of Neptunium?
Manganese is an essential trace element in living organisms and is used to strengthen steel.,1,elements,train,What role does Manganese play in living organisms?
Technetium is in the Transition metal group.,1,elements,train,What group of elements is Technetium part of?
Barium has the atomic number of 81.,0,elements,train,What is the atomic number of Barium?
Potassium has the atomic number of 34.,0,elements,train,What is the atomic number of Potassium?
Ruthenium has the symbol Au.,0,elements,train,What is the symbol of Ruthenium?
Scandium appears in its standard state as Gas.,0,elements,train,What is the standard state of Scandium?
Terbium is used in touchscreens and some semiconductors.,0,elements,train,What technology or devices does Terbium contribute to?
Krypton appears in its standard state as Gas.,1,elements,train,What is the standard state of Krypton?
Argon is in the Lanthanide group.,0,elements,train,What group does Argon belong to?
Iron appears in its standard state as Gas.,0,elements,train,What is the standard state of Iron?
Cerium has the atomic number of 58.,1,elements,train,What is the atomic number of Cerium?
Tellurium appears in its standard state as Gas.,0,elements,train,What is the standard state of Tellurium?
Polonium has the symbol Po.,1,elements,train,What is the symbol of Polonium?
Potassium has the symbol Al.,0,elements,train,What is the symbol for Potassium?
Terbium has the atomic number of 65.,1,elements,train,What is the atomic number of Terbium?
Oxygen has the symbol O.,1,elements,train,What is the symbol for Oxygen?
Rhodium has the atomic number of 48.,0,elements,train,What is the atomic number of Rhodium?
Neon has the atomic number of 63.,0,elements,train,What is the atomic number of Neon?
Barium has the symbol Sb.,0,elements,train,What is the symbol of Barium?
Terbium appears in its standard state as Gas.,0,elements,train,What is the standard state of Terbium?
Bismuth is in the Alkali metal group.,0,elements,train,What group does Bismuth belong to?
Iron appears in its standard state as Solid.,1,elements,train,What is the standard state of Iron?
Carbon has the symbol C.,1,elements,train,What is the symbol for Carbon?
Manganese appears in its standard state as Gas.,0,elements,train,What is the standard state of Manganese?
Platinum appears in its standard state as Gas.,0,elements,train,What is the standard state of Platinum?
Ytterbium appears in its standard state as Gas.,0,elements,train,What is the standard state of Ytterbium?
Arsenic appears in its standard state as Solid.,1,elements,train,What is the standard state of Arsenic?
Actinium is in the Post-transition metal group.,0,elements,train,What group does Actinium belong to?
Mercury appears in its standard state as Liquid.,1,elements,train,What is the standard state of Mercury?
Erbium reacts violently with water and is essential for nerve function.,0,elements,train,What is a characteristic of Erbium?
Lutetium is used to galvanize steel and is an essential trace element in living organisms.,0,elements,train,What is the use of Lutetium in industry?
Germanium appears in its standard state as Gas.,0,elements,train,What is the standard state of Germanium?
"Strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",1,elements,train,What is Strontium used for in fireworks and certain types of glass?
"Titanium is used in lasers, atomic clocks, and some solar cells.",0,elements,train,What devices are Titanium used in?
Lutetium has the symbol Be.,0,elements,train,What is the symbol for Lutetium?
Magnesium is used in the production of glass and ceramics.,0,elements,train,What is one use of magnesium?
Zinc has the symbol Fr.,0,elements,train,What is the symbol of Zinc?
Manganese is in the Transition metal group.,1,elements,train,What group does Manganese belong to?
Potassium has the symbol K.,1,elements,train,What is the symbol of Potassium?
Sulfur appears in its standard state as Gas.,0,elements,train,What is the standard state of Sulfur?
Terbium has the symbol Ta.,0,elements,train,What is the symbol for Terbium?
Phosphorus is in the Nonmetal group.,1,elements,train,What is the group that Phosphorus belongs to?
Chlorine has the symbol Cl.,1,elements,train,What is the symbol of Chlorine?
Thorium has the symbol Th.,1,elements,validate,What is the symbol for Thorium?
Zinc appears in its standard state as Solid.,1,elements,validate,What is the standard state of Zinc?
Magnesium has the symbol Mg.,1,elements,validate,What is the symbol of Magnesium?
Ruthenium has the atomic number of 44.,1,elements,validate,What is the atomic number of Ruthenium?
Samarium has the symbol Sm.,1,elements,validate,What is the symbol for Samarium?
Rhodium is in the Transition metal group.,1,elements,validate,What type of group is Rhodium part of?
Hafnium is used in nuclear control rods and high-temperature alloys.,1,elements,validate,What are some uses of Hafnium?
Vanadium has the symbol Ba.,0,elements,validate,What is the symbol for Vanadium?
Gallium is in the Post-transition metal group.,1,elements,validate,What group does Gallium belong to?
Xenon appears in its standard state as Gas.,1,elements,validate,What is the standard state of Xenon?
Rubidium is in the Lanthanide group.,0,elements,validate,What is the group that Rubidium belongs to?
Tungsten has the atomic number of 74.,1,elements,validate,What is the atomic number of Tungsten?
Erbium has the atomic number of 41.,0,elements,validate,What is the atomic number of Erbium?
Lanthanum is in the Lanthanide group.,1,elements,validate,What is the group that Lanthanum belongs to?
Thallium appears in its standard state as Solid.,1,elements,validate,What is the standard state of Thallium?
Dysprosium appears in its standard state as Gas.,0,elements,validate,What is the standard state of Dysprosium?
Scandium is in the Transition metal group.,1,elements,validate,What type of group does Scandium belong to?
Oxygen appears in its standard state as Gas.,1,elements,validate,What is the standard state of Oxygen?
Rhenium is used in high-temperature alloys and catalytic converters.,1,elements,validate,What type of materials and devices is Rhenium used in?
Titanium has the symbol B.,0,elements,validate,What is the symbol for Titanium?
Sulfur appears in its standard state as Solid.,1,elements,validate,What is the standard state of Sulfur?
Actinium is in the Actinide group.,1,elements,validate,What group is Actinium a part of?
Astatine is in the Actinide group.,0,elements,validate,What group does Astatine belong to?
Boron has the symbol B.,1,elements,validate,What is the symbol of Boron?
Gadolinium has the symbol Hg.,0,elements,validate,What is the symbol of Gadolinium?
Ruthenium is in the Transition metal group.,1,elements,validate,What is Ruthenium's classification?
Tantalum has the atomic number of 73.,1,elements,validate,What is the atomic number of Tantalum?
Mercury is a highly conductive and reflective metal used in jewelry and electronics.,0,elements,validate,What are some common uses of Mercury?
Neptunium has the atomic number of 4.,0,elements,validate,What is the atomic number of Neptunium?
Tin has the symbol Sn.,1,elements,validate,What is the symbol of Tin?
Ruthenium is used in catalytic converters and some electronic components.,1,elements,validate,What type of items does Ruthenium have applications in?
Actinium appears in its standard state as Gas.,0,elements,validate,What is the standard state of Actinium?
Hafnium is in the Transition metal group.,1,elements,validate,What group does Hafnium belong to?
Xenon has the atomic number of 54.,1,elements,validate,What is the atomic number of Xenon?
Rhodium has the symbol Rh.,1,elements,validate,What is the symbol for Rhodium?
Tungsten has the symbol W.,1,elements,validate,What is the symbol for Tungsten?
Tellurium has the atomic number of 39.,0,elements,validate,What is the atomic number of Tellurium?
Niobium appears in its standard state as Solid.,1,elements,validate,What is the standard state of Niobium?
